ID Book,Title,Author,Printing Place,Printing Year,Pub. Place,Pub. Date,Pages,OCLC ID,ULI Entry,Source,Go to External Site,Catalog Information,Content,MARC record,Tags
10842,הגדה של פסח מחזור ויטרי ושבלי הלקט,"שמחה מויטרי -- צדקיהו ב""ר אברהם הרופא",ווילנא,תרמז,Vilna,1887,52,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33088,,,,הגדה של פסח
10843,"הגדה של פסח עם ספורי הפלאות, ספורי יציאת מצרים ומשלי יעקב",משה מזאלשין -- משלי יעקב,לובלין,תרמז,Lublin,1887,53,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33089,,,,הגדה של פסח
10844,"הגדה של פסח עם ציורים ותרגום ערבי כמנהג ק""ק בגאאד",,ליוורנו,תרמז,Levorno,1887,71,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33090,,,,הגדה של פסח
10845,"הגדה של פסח עם שרח ערבי ותרגום ערבי כמנהג ק""ק בגדאד","חוצין, שלמה בכור",ליוורנו,תרמז,Levorno,1887,70,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33091,,,,הגדה של פסח
10846,,,,,,,,,,,,,,,
10847,סדר הגדה של פסח אשל אברהם,"ווארמאן, אברהם דוד ב""ר אשר",לבוב,תרמז,Lvov,1887,49,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33093,,,,הגדה של פסח
10848,הגדה של פסח בלשון אשכנז ברכת אברהם,"פילד, אברהם אבוש ב""ר צבי",מיינץ,תרמז,,1887,95,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33094,,,,הגדה של פסח
10849,"הגדה של פסח עם חמשה עשר באורים כל בו, אמת ליעקב וספורי נפלאות",,ווילנא,תרמח,Vilna,1888,93,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33097,,,,הגדה של פסח
10850,"הגדה של פסח עם עברי טייטש, ציורים","קראנץ, יעקב",ווילנא,תרמח,Vilna,1888,53,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33098,,,,הגדה של פסח
10851,,,,,,,,,,,,,,,
10852,סדר ההגדה של פסח צרפת כמנהג,"בלום, ליב",פאריס,תרמח,Paris,1888,159,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33100,,,,הגדה של פסח
10853,סדר ההגדה לליל שמורים עם תרגום אשכנזי,"הידנהים, בנימין וולף בן שמשון, 1757-1832",רדלהיים,תרמח,?,1888,79,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33101,,,,הגדה של פסח
10854,הגדה של פסח פסח מעובין עם מכשירי פסחא ואמרי שפר,,ווארשא,תרמט,Warsaw,1889,135,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33102,,,,הגדה של פסח
10855,הגדה של פסח עם ליל שמורים,"אפשטיין, יחיאל מיכל ב""ר אהרן הלוי",ווארשא,תרמט,Warsaw,1889,99,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33103,,,,הגדה של פסח
10856,הגדה של פסח עם בית אהרן,"חיד""א -- אקערמאן, אהרן ב""ר מאיר",ווארשא,תרמט,Warsaw,1889,87,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33104,,,,הגדה של פסח
10857,הגדה של פסח עם גבול ים העתקה אנגלית,"גראייבסקי, אליעזר זלמן",נ.י.,תרמט,,1889,150,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33106,,,,הגדה של פסח
10858,הגדה של פסח עם תרגום אשכנזי עם ציורים,,פראג,תרמט,Prague,1889,81,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33107,,,,הגדה של פסח
10859,הגדה של פסח עם בית אהרן,"חיד""א -- אקערמאן, אהרן ב""ר מאיר",ווארשא,תרנ,Warsaw,1890,85,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33108,,,,הגדה של פסח
10860,הגדה של פסח הלכות קביעות במכירת חמץ עם שבחא דמרא,"איגרא, משולם",ווארשא,תרנ,Warsaw,1890,84,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33109,,,,הגדה של פסח
10861,מעלה בית חורין סדר הגדה של פסח עם ארבעה עשר פרושים,,ווארשא,תרנ,Warsaw,1890,72,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33110,,,,הגדה של פסח
10862,,,,,,,,,,,,,,,
10863,הגדה לפסח מתורגמת בשפת רוסית,"בלאשטיין, עוזר",ווילנא,תרנ,Vilna,1890,66,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33112,,,,הגדה של פסח
10864,הגדה של פסח עם פתרון ערבי המדוברת בערי אלגיר ווהראן עם ציורים,,וינה,תרנ,Vienna,1890,49,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33113,,,,הגדה של פסח
10865,הגדה של פסח עם דיני בדיקת חמץ והנהגת הסדר בלשון עברית ואשכנזית,"אדעלמאן, מ -- פיינשטיין, ד",ירושלים,תרנ,Jerusalem,1890,80,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33114,,,,הגדה של פסח
10866,"הגדה של פסח עם ספורי הפלאות, ספורי יציאת מצרים ומשלי יעקב","משה מזאלשין -- קראנץ, יעקב",לובלין,תרנ,Lublin,1890,62,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33115,,,,הגדה של פסח
10867,הגדה של פסח עם תרגום אנגלי,,נ.י.,תרנ 1889,?,,71,,,"Chabad-Lubavitch Library ספריית חב""ד ליובאוויטש",http://chabadlibrary.org/catalog/index1.php?frame=main&catalog=hcatalog&mode=details&volno=33116,,,,הגדה של פסח
